city,language,variant_count,urls,avg_place_overlap_pct,avg_theme_overlap_pct,judgment
삿포로,ko,3,"/destinations/%EC%9D%BC%EB%B3%B8/%EC%82%BF%ED%8F%AC%EB%A1%9C/sapporo-solo-2days (solo-2d, views=124) | /destinations/%EC%9D%BC%EB%B3%B8/%EC%82%BF%ED%8F%AC%EB%A1%9C/sapporo-friends-3days (friends-3d, views=88) | /destinations/%EC%9D%BC%EB%B3%B8/%EC%82%BF%ED%8F%AC%EB%A1%9C/sapporo-couple-3days (couple-3d, views=41)",13.3,0.0,차별화충분
오키나와,ko,3,"/destinations/%EC%9D%BC%EB%B3%B8/%EC%98%A4%ED%82%A4%EB%82%98%EC%99%80/okinawa-friends-3days (friends-3d, views=37) | /destinations/%EC%9D%BC%EB%B3%B8/%EC%98%A4%ED%82%A4%EB%82%98%EC%99%80/okinawa-couple-3days (couple-3d, views=103) | /destinations/%EC%9D%BC%EB%B3%B8/%EC%98%A4%ED%82%A4%EB%82%98%EC%99%80/okinawa-solo-2days (solo-2d, views=33)",12.3,0.0,차별화충분
다낭,ko,3,"/destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%EB%8B%A4%EB%82%AD/da-nang-couple-3days (couple-3d, views=44) | /destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%EB%8B%A4%EB%82%AD/da-nang-solo-2days (solo-2d, views=75) | /destinations/%EB%B2%A0%ED%8A%B8%EB%82%A8/%EB%8B%A4%EB%82%AD/da-nang-friends-3days (friends-3d, views=69)",6.1,0.0,차별화충분
방콕,ko,4,"/destinations/%ED%83%9C%EA%B5%AD/%EB%B0%A9%EC%BD%95/bangkok-solo-3days (solo-3d, views=114) | /destinations/%ED%83%9C%EA%B5%AD/%EB%B0%A9%EC%BD%95/bangkok-friends-3days (friends-3d, views=62) | /destinations/%ED%83%9C%EA%B5%AD/%EB%B0%A9%EC%BD%95/bangkok-family-4days (family-4d, views=58) | /destinations/%ED%83%9C%EA%B5%AD/%EB%B0%A9%EC%BD%95/bangkok-couple-3days (couple-3d, views=99)",11.7,0.0,차별화충분
발리,ko,4,"/destinations/%EC%9D%B8%EB%8F%84%EB%84%A4%EC%8B%9C%EC%95%84/%EB%B0%9C%EB%A6%AC/bali-couple-3days (couple-3d, views=64) | /destinations/%EC%9D%B8%EB%8F%84%EB%84%A4%EC%8B%9C%EC%95%84/%EB%B0%9C%EB%A6%AC/bali-family-4days (family-4d, views=120) | /destinations/%EC%9D%B8%EB%8F%84%EB%84%A4%EC%8B%9C%EC%95%84/%EB%B0%9C%EB%A6%AC/bali-solo-3days (solo-3d, views=128) | /destinations/%EC%9D%B8%EB%8F%84%EB%84%A4%EC%8B%9C%EC%95%84/%EB%B0%9C%EB%A6%AC/bali-friends-3days (friends-3d, views=72)",30.3,3.3,차별화충분
세부,ko,3,"/destinations/%ED%95%84%EB%A6%AC%ED%95%80/%EC%84%B8%EB%B6%80/cebu-solo-2days (solo-2d, views=53) | /destinations/%ED%95%84%EB%A6%AC%ED%95%80/%EC%84%B8%EB%B6%80/cebu-friends-3days (friends-3d, views=66) | /destinations/%ED%95%84%EB%A6%AC%ED%95%80/%EC%84%B8%EB%B6%80/cebu-couple-3days (couple-3d, views=72)",5.3,0.0,차별화충분
Singapore,en,1,/destinations/Singapore/singapore-family-3days-en,,,N/A (단일 버전)
London,en,1,/destinations/London/london-couple-4days-en,,,N/A (단일 버전)
Rome,en,1,/destinations/Rome/rome-couple-3days-en,,,N/A (단일 버전)
Amsterdam,en,1,/destinations/Amsterdam/amsterdam-couple-3days-en,,,N/A (단일 버전)
